"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"97";"一种中驱双头数控车床";"";"";"CN122517669A";"2026-05-29";"B23B25/06 
B23B5/08 
B23Q1/72";"";"2026-08-07";"2026-08-07";"100754546";
"98";"多曲面异形钢精密加工定位装置";"";"";"CN224601099U";"2025-07-31";"B23Q3/08 
B25B11/00";"";"2026-08-07";"2026-08-07";"100740461";
"99";"全自动转子精车机";"";"";"CN224601081U";"2025-09-04";"B23B21/00 
B23Q3/06 
B23Q5/40";"";"2026-08-07";"2026-08-07";"100739436";
"100";"一种带有自动润滑系统的批锋机";"";"";"CN224600667U";"2025-07-05";"B23D79/00 
B23Q11/00 
B23Q11/10 
B23Q11/12";"";"2026-08-07";"2026-08-07";"100738485";
"101";"一种方便定位的打孔工装";"";"";"CN224601076U";"2025-08-22";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100741603";
"102";"涡旋盘多主轴高效加工装置";"";"";"CN224600577U";"2025-07-10";"B23B39/16 
B23B47/00 
B23B47/30 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100740930";
"103";"一种多工位钻孔设备";"";"";"CN224600574U";"2025-07-29";"B23B39/00 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100746399";
"104";"一种动柱单臂式加工中心";"";"";"CN122518079A";"2026-06-30";"B23Q1/01 
B23Q3/155";"";"2026-08-07";"2026-08-07";"100762127";
"105";"一种超长螺栓倒角装置";"";"";"CN122518092A";"2026-07-10";"B23D79/00 
B23Q3/06 
B23Q3/18 
B23Q7/03 
B65G17/12 
B65G17/32";"";"2026-08-07";"2026-08-07";"100768444";
"106";"一种加工装置及加工方法";"";"";"CN122518052A";"2026-07-08";"B23P15/10 
B23P23/02 
B23Q11/00 
B23Q3/06 
B23Q7/02";"";"2026-08-07";"2026-08-07";"100766183";
"107";"一种调速阀阀芯加工用切割设备";"";"";"CN224600627U";"2025-07-02";"B23D19/00 
B23D33/00 
B23Q11/00 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100742529";
"108";"一种硬质合金棒材气悬浮低阻力接料装置";"";"";"CN224601009U";"2025-08-05";"B23P23/04 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100742714";
"109";"一种五金件内侧壁倒边机";"";"";"CN224601162U";"2024-09-23";"B23Q11/08";"";"2026-08-07";"2026-08-07";"100737031";
"110";"一种电动工具配件的加工机构及加工方法";"";"";"CN122517686A";"2026-07-09";"B23C3/00 
B23Q1/25 
B23Q11/00 
B23Q3/00 
B23Q7/00 
B23Q7/04";"";"2026-08-07";"2026-08-07";"100761150";
"111";"一种汽车动力总成壳体零件夹具";"";"";"CN224601048U";"2025-09-11";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100738180";
"112";"一种异形钢板裁切工作台";"";"";"CN224601161U";"2025-10-30";"B08B1/12 
B08B1/16 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100749225";
"113";"一种圆刀复合机刀具磨损状态实时监测与预警装置";"";"";"CN224601186U";"2025-07-08";"B23Q17/09";"";"2026-08-07";"2026-08-07";"100749303";
"114";"一种用于折流板钻孔加工的定位装置";"";"";"CN122518099A";"2026-07-09";"B23B41/00 
B23B47/00 
B23Q1/25 
B23Q3/06 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100750461";
"115";"一种多规格自适应离合器壳体加工夹具";"";"";"CN224601067U";"2025-08-08";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100735555";
"116";"一种深孔铣削设备";"";"";"CN122518129A";"2026-06-25";"B23C3/00 
B23Q11/00 
B23Q11/10 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100754949";
"117";"一种可调节式车床加工件多角度定位支撑夹具";"";"";"CN224601061U";"2025-07-09";"B23Q3/04 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100735585";
"118";"一种铝型材挤出加工用的连续定距切割设备";"";"";"CN224600668U";"2025-08-15";"B23D79/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100747642";
"119";"一种多机台协作机床装置";"";"";"CN224601151U";"2025-08-21";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100743498";
"120";"一种网络配线架加工用板材加工装置";"";"";"CN122518041A";"2026-06-01";"B23K10/02 
B23P23/00 
B23Q7/00 
B24B41/00 
B24B55/00 
B24B55/12 
B24B7/06";"";"2026-08-07";"2026-08-07";"100765684";
"121";"一种超大型直线电机可调定子支架结构";"";"";"CN224610575U";"2025-09-15";"B23Q5/28 
H02K1/18 
H02K16/00 
H02K41/02";"";"2026-08-07";"2026-08-07";"100742453";
"122";"一种密封圈加工中心和加工工艺";"";"";"CN122518109A";"2026-04-30";"B23Q11/00 
B23Q3/08 
B23Q5/22 
B23Q5/54 
B23Q7/00 
B23Q7/06";"";"2026-08-07";"2026-08-07";"100762881";
"123";"一种水冷补偿器加工用端口处理装置";"";"";"CN224601012U";"2025-09-09";"B23P23/04 
B23Q3/06 
B23Q7/02";"";"2026-08-07";"2026-08-07";"100747638";
"124";"一种电主轴密封装置";"";"";"CN122517667A";"2026-07-13";"B23B19/02 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100761236";
"125";"一种铣用心轴定位夹具装置";"";"";"CN224601044U";"2025-08-28";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100735751";
"126";"一种用于电驱后端盖的夹紧定位装置";"";"";"CN224601098U";"2025-07-30";"B23Q3/08 
B25B11/00";"";"2026-08-07";"2026-08-07";"100735485";
"127";"一种通用设备制造用切割设备";"";"";"CN224601095U";"2024-10-09";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100746255";
"128";"一种机械加工的机床";"";"";"CN224601024U";"2024-08-29";"B23K37/006 
B23K37/047 
B23Q1/26 
B23Q11/08 
F16P1/06";"";"2026-08-07";"2026-08-07";"100748282";
"129";"一种加工中心异形件快速定位夹具";"";"";"CN224601096U";"2025-03-26";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100749115";
"130";"一种热轧卷板加工一体机";"";"";"CN122518120A";"2026-06-26";"B21D1/02 
B23D15/04 
B23D15/14 
B23D33/02 
B23P23/04 
B23Q11/00 
B65H16/04 
B65H20/02";"";"2026-08-07";"2026-08-07";"100765962";
"131";"一种改善深小孔钻削稳定性的超声振动辅助钻削方法";"";"";"CN122517676A";"2026-05-20";"B23B35/00 
B23Q15/00";"";"2026-08-07";"2026-08-07";"100765397";
"132";"一种不锈钢板加工用的对中装置";"";"";"CN224601033U";"2024-10-25";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100738221";
"133";"一种数控刀盘、数控机床及数控刀盘的分度控制方法";"";"";"CN122518103A";"2026-07-02";"B23Q3/157";"";"2026-08-07";"2026-08-07";"100755102";
"134";"一种U型铝方通管材的生产装置";"";"";"CN224601396U";"2024-08-27";"B23Q7/00 
B25B11/00 
B25J15/00";"";"2026-08-07";"2026-08-07";"100737977";
"135";"对位压紧机构";"";"";"CN224601109U";"2025-09-10";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100735808";
"136";"一种置于机床内部的连杆开合门";"";"";"CN122518125A";"2026-06-26";"B23Q11/00 
B23Q11/08 
B23Q17/00 
B23Q5/00";"";"2026-08-07";"2026-08-07";"100758856";
"137";"刀具柄型结构及钢板钻";"";"";"CN224601049U";"2025-09-15";"B23B47/00 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100745555";
"138";"一种四轴头箱";"";"";"CN224601127U";"2025-09-04";"B23Q11/08 
B23Q11/12 
B23Q5/04";"";"2026-08-07";"2026-08-07";"100742709";
"139";"TOOL-REPLACING DEVICE";"ISOBE GAKU [JP]";"FANUC CORP [JP]";"WO2026163310A1";"2025-01-29";"B23Q3/155";"";"2026-08-06";"2026-08-06";"100769972";
"140";"一种磁吸式快速换刀工具";"";"";"CN224600645U";"2025-04-23";"B23D35/00 
B23Q5/10 
B26D1/15 
B26D7/26";"";"2026-08-07";"2026-08-07";"100738888";
"141";"CNC加工过程中的智能安全防护方法及系统";"";"";"CN122526107A";"2026-05-29";"B23Q11/00 
G05B19/4065";"";"2026-08-07";"2026-08-07";"100752730";
"142";"DREHWERKZEUGHALTER, DREHWERKZEUG, DREHMASCHINE UND DREHVERFAHREN HIERMIT";"SÖHNGEN SWEN [DE] 
SCHMIDT MARKUS [DE] 
HABERMEHL TOBIAS [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SEIFRIED STEFAN [DE]";"OPTOTECH OPTIKMASCH GMBH [DE] 
SOEHNGEN SWEN [DE] 
SCHMIDT MARKUS [DE] 
HABERMEHL TOBIAS [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SEIFRIED STEFAN [DE]";"WO2026162129A1";"2025-01-29";"B23B27/10 
B23B29/04 
B23Q11/10";"B23B27/10 (EP) 
B23B29/046 (EP) 
B23B2215/40 (EP) 
B23B2250/12 (EP)";"2026-08-06";"2026-08-06";"094480903";
"143";"一种伸缩式导向钻孔装置";"";"";"CN224600600U";"2025-09-09";"B23B41/02 
B23B47/06 
B23B47/20 
B23B49/00 
B23Q11/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100735458";
"144";"一种大型船舶用船轴生产加工装置及其加工方法";"";"";"CN122518094A";"2026-06-03";"B09B3/20 
B09B3/30 
B23Q11/00 
B23Q17/22 
B23Q17/24 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100752616";
"145";"一种CNC加工系统及加工方法";"";"";"CN122518113A";"2026-05-29";"B23Q3/06 
B23Q7/04";"";"2026-08-07";"2026-08-07";"100763553";
"146";"一种五轴双头切割机";"";"";"CN224601022U";"2025-08-06";"B23Q1/25 
B23Q3/155 
B23Q3/157";"";"2026-08-07";"2026-08-07";"100745887";
"147";"一种气缸夹具结构";"";"";"CN224601102U";"2025-08-18";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100736642";
"148";"一种节能型铝门窗数控切割机的主传动结构";"";"";"CN224600840U";"2025-09-09";"B23K37/02 
B23Q1/25 
B23Q5/40";"";"2026-08-07";"2026-08-07";"100741894";
"149";"一种用于清理加工中铜屑的管路";"";"";"CN224601152U";"2025-08-26";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100737995";
"150";"一种高压电缆屏蔽层一体化剥切打磨装置";"";"";"CN122532797A";"2026-03-23";"B23P23/04 
B23Q3/06 
H02G1/12";"";"2026-08-07";"2026-08-07";"100766654";
"151";"一种换刀臂以及换刀机构";"";"";"CN224601118U";"2025-06-30";"B23Q3/155";"";"2026-08-07";"2026-08-07";"100741291";
"152";"一种辙叉加工用自动翻转装置";"";"";"CN224601085U";"2025-09-09";"B23Q15/26 
B23Q17/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100738175";
"153";"一种自清洁气动夹具";"";"";"CN224601111U";"2025-09-16";"B08B5/02 
B23Q11/00 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100745179";
"154";"一种船用大功率柴油机缸盖斜孔的加工工装";"";"";"CN224600597U";"2025-07-23";"B23B47/28 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100737375";
"155";"一种加工中心排屑清理设备";"";"";"CN224601147U";"2025-06-20";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100748669";
"156";"一种用于钻尾螺丝的加工工装";"";"";"CN224601059U";"2025-07-03";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100737919";
"157";"一种数控机床主轴调节设备";"";"";"CN122517666A";"2026-05-25";"B23B19/02 
B23Q11/12";"";"2026-08-07";"2026-08-07";"100760277";
"158";"吊钩柄部螺纹车削工装";"";"";"CN224601035U";"2025-06-19";"B23G1/44 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100739626";
"159";"貼着方法、テープ貼着装置、及び、デバイスチップの製造方法";"";"";"JP2026126893A";"2025-01-24";"B23Q3/08 
H10P58/00 
H10P72/70";"";"2026-08-05";"2026-08-05";"100774690";
"160";"一种单轴叶轮加工数控车铣复合加工机床";"";"";"CN122518111A";"2026-06-29";"B23P23/02 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100765970";
"161";"一种冷切飞锯用夹具";"";"";"CN224600651U";"2024-09-19";"B23D45/18 
B23D47/04 
B23D59/00 
B23Q1/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100748787";
"162";"一种空调管阀芯装配机构";"";"";"CN224600972U";"2025-08-29";"B23P19/04 
B23Q11/12";"";"2026-08-07";"2026-08-07";"100737419";
"163";"一种T铁上料切边装置";"";"";"CN224600638U";"2025-07-10";"B23D27/00 
B23D33/10 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100745188";
"164";"一种气缸加工装夹装置";"";"";"CN224601032U";"2024-10-10";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100740324";
"165";"具有协同控制能力的单点金刚石车床主轴系统及控制方法";"";"";"CN122517665A";"2026-05-14";"B23B19/02 
B23Q11/08 
B23Q11/12 
B23Q15/08 
B23Q17/00 
B23Q17/10 
B23Q17/12 
B23Q3/08 
B23Q3/12 
G05D27/02";"";"2026-08-07";"2026-08-07";"100754153";
"166";"一种精密多级导轨装置";"";"";"CN224601132U";"2025-08-16";"B23Q7/00";"";"2026-08-07";"2026-08-07";"100738357";
"167";"一种农机犁头犁柱多工位钻孔攻丝组合设备";"";"";"CN122518050A";"2026-06-29";"B23P23/02 
B23Q11/08 
B23Q3/00 
B23Q3/155 
B23Q3/157";"";"2026-08-07";"2026-08-07";"100755011";
"168";"铁屑的分离方法及铁屑储存箱的制造方法";"";"";"CN122519618A";"2023-05-24";"B01D29/03 
B01D36/04 
B65D25/24 
B65D6/08 
B65D6/32";"B23Q11/00 (CN) 
B23Q11/1069 (CN) 
Y02P70/10 (EP)";"2026-08-07";"2023-07-04";"086967819";
"169";"一种具有冲洗功能的锻件加工钻床";"";"";"CN224600586U";"2024-11-29";"B23B41/00 
B23Q11/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100742361";
"170";"一种水泵后盖密封面加工固定装置";"";"";"CN224601077U";"2025-08-26";"B23Q3/06 
B25B11/00";"";"2026-08-07";"2026-08-07";"100739141";
"171";"一种防偏移的机械加工输送带";"";"";"CN224601130U";"2024-10-11";"B23Q7/00";"";"2026-08-07";"2026-08-07";"100744368";
"172";"一种基于汽车生产的手动双工位正面上料机";"";"";"CN122518080A";"2026-06-23";"B23Q1/25 
B23Q1/56 
B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100750027";
"173";"一种汽车转向节加工用车削装置";"";"";"CN122517660A";"2026-05-14";"B23B25/00 
B23B5/00 
B23Q11/00 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100769076";
"174";"一种用于球头销车削的固定工装";"";"";"CN224601074U";"2025-08-20";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100737424";
"175";"用于加工细长套端面的装夹工装";"";"";"CN224601116U";"2025-09-17";"B23Q3/14";"";"2026-08-07";"2026-08-07";"100748678";
"176";"一种五轴加工中心用减震底座";"";"";"CN224601017U";"2025-09-03";"B23Q1/01 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100742565";
"177";"工作機械の切削液浸入防止構造";"";"";"JP2026126925A";"2025-01-24";"B23Q11/08 
B23Q7/00";"";"2026-08-05";"2026-08-05";"100774681";
"178";"一种耐磨衬板生产用高精度钻孔机";"";"";"CN224600588U";"2025-08-25";"B23B41/00 
B23B47/20 
B23Q3/06 
B23Q7/02";"";"2026-08-07";"2026-08-07";"100744525";
"179";"一种数控机床用降噪门";"";"";"CN224601149U";"2025-07-30";"B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100739880";
"180";"一种新能源汽车电池盖板焊接夹具";"";"";"CN224601117U";"2025-09-11";"B23Q3/154";"";"2026-08-07";"2026-08-07";"100741778";
"181";"一种基于人工智能的金属零部件切割装置";"";"";"CN224600624U";"2025-03-04";"B23D19/00 
B23D33/02 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100740597";
"182";"HSK动力刀座";"";"";"CN224601036U";"2025-06-25";"B23Q11/12 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100739589";
"183";"一种刀具调节结构及机械加工装置";"";"";"CN224601185U";"2025-08-24";"B23Q15/22 
B23Q15/26";"";"2026-08-07";"2026-08-07";"100738727";
"184";"一种螺机筒节卧车装夹工装";"";"";"CN224601114U";"2025-08-28";"B23B23/00 
B23Q3/12";"";"2026-08-07";"2026-08-07";"100740706";
"185";"一种薄壳工件端面切削加工夹具";"";"";"CN224601070U";"2025-08-12";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100743378";
"186";"一种柔性定心装夹工装及柔性定心装方法";"";"";"CN122518086A";"2026-05-29";"B23Q3/06 
B23Q3/18";"";"2026-08-07";"2026-08-07";"100758417";
"187";"一种风力发电机塔筒法兰钻孔装置";"";"";"CN122518124A";"2026-06-16";"B23B31/40 
B23B41/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100758601";
"188";"一种数控钻铣复合机床";"";"";"CN122518053A";"2026-07-08";"B23P23/02 
B23Q3/157 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100767753";
"189";"一种基于协同送料与车磨复合加工的刹车盘全自动生产线";"";"";"CN224601006U";"2025-07-03";"B23P23/04 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100737352";
"190";"一种用于加工高压开关底座的工装";"";"";"CN224601080U";"2025-09-01";"B23B47/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100744920";
"191";"一种用于轴类工件加工的自定心定位支撑装置";"";"";"CN122517668A";"2026-06-17";"B23B25/00 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100769337";
"192";"一种批锋机的可调节刀架机构";"";"";"CN224601021U";"2025-07-31";"B23D79/00 
B23Q1/25 
B23Q11/00 
B23Q3/00 
B26D7/22 
B26D7/26";"";"2026-08-07";"2026-08-07";"100744899";
"193";"一种多加工平台金属切割机";"";"";"CN224600675U";"2025-09-11";"B23D79/00 
B23Q11/00 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100744384";
"194";"一种L型材多件加工夹具";"";"";"CN224601092U";"2025-09-16";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100742267";
"195";"一种模具制造智能切削装置";"";"";"CN122517688A";"2026-04-28";"B23C3/20 
B23Q1/26 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100762784";
"196";"一种深沟球轴承加工用切割设备";"";"";"CN122517699A";"2026-07-09";"B23D21/00 
B23D33/00 
B23D33/02 
B23Q3/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100767852";
"197";"一种刀库";"";"";"CN224601120U";"2025-08-20";"B23Q3/155";"";"2026-08-07";"2026-08-07";"100744470";
"198";"一种轴承座端面铣削与钻孔组合加工设备";"";"";"CN122518044A";"2026-05-21";"B23P23/02 
B23Q17/20 
B23Q17/24";"";"2026-08-07";"2026-08-07";"100763414";
"199";"一种人防门用闭锁座镗孔工装";"";"";"CN224601087U";"2025-09-10";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100735299";
"200";"一种摩托车轮毂加工用的轮毂固定装置";"";"";"CN224601088U";"2025-09-11";"B23Q17/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100738235";
"201";"一种五金加工用夹紧机构";"";"";"CN224601028U";"2024-08-26";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100740717";
"202";"OBJECT HOLDER AND METHODS OF MANUFACTURE";"HANTON LINCOLN T J [CA] 
HILDEBRAND ALAN R [CA]";"HANTON LINCOLN T J [CA] 
HILDEBRAND ALAN R [CA]";"WO2026161965A1";"2025-01-31";"B23Q1/03 
B25B1/20 
B25B1/24 
B25B11/00";"";"2026-08-06";"2026-08-06";"100771118";
"203";"一种多工件气动固定装置";"";"";"CN224601043U";"2025-08-26";"B23Q3/00 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100744823";
"204";"双头倒角机全自动送料定位方法及系统";"";"";"CN122518110A";"2026-06-16";"B23Q7/00 
B65G53/34 
B65G53/58 
B65G53/66";"";"2026-08-07";"2026-08-07";"100754780";
"205";"一种复合式车铣复合加工中心装置";"";"";"CN122518108A";"2026-06-22";"B23P23/02 
B23Q5/40";"";"2026-08-07";"2026-08-07";"100757061";
"206";"一种滚齿机自适应毛刺清除与冷却联动装置";"";"";"CN122517717A";"2026-06-10";"B23F19/00 
B23F23/00 
B23Q11/10 
B24B55/02";"";"2026-08-07";"2026-08-07";"100756866";
"207";"一种建筑铝模板自动化冲孔切割一体化加工设备";"";"";"CN122518060A";"2026-06-02";"B23D59/00 
B23D59/02 
B23P23/04 
B23Q3/06 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100765670";
"208";"一种具有定位功能的开孔装置";"";"";"CN224600584U";"2024-09-28";"B23B41/00 
B23Q11/00 
B23Q11/08 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100742737";
"209";"一种线槽切割设备";"";"";"CN224600629U";"2025-08-28";"B23D19/00 
B23D33/00 
B23D33/02 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100736589";
"210";"一种可多工件同步加工的转台式数控铣床";"";"";"CN122517682A";"2026-05-09";"B23C1/14 
B23Q11/00 
B23Q11/08 
B23Q17/22 
B23Q3/06 
B23Q3/18";"";"2026-08-07";"2026-08-07";"100761542";
"211";"一种回转工作台重复定位校验方法";"";"";"CN122518139A";"2026-05-26";"B23Q1/25 
B23Q17/24";"";"2026-08-07";"2026-08-07";"100763472";
"212";"一种传动轴自动化生产线设备";"";"";"CN122518115A";"2026-05-15";"B23P23/06 
B23Q17/00 
B23Q7/14";"";"2026-08-07";"2026-08-07";"100754281";
"213";"用于合金钢切割加工的锁止定位装置";"";"";"CN224600644U";"2025-09-12";"B23D33/02 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100739489";
"214";"一种异形工件弹性装夹装置";"";"";"CN224601097U";"2025-07-23";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100735297";
"215";"一种双工位钻攻中心";"";"";"CN224601002U";"2025-04-27";"B23P23/02 
B23Q1/01 
B23Q3/08 
B23Q5/00";"";"2026-08-07";"2026-08-07";"100749308";
"216";"一种车辆蒙皮切割装置";"";"";"CN224600625U";"2025-06-09";"B23D19/00 
B23D33/00 
B23D33/02 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100735622";
"217";"一种车磨机床刀架对刀工具";"";"";"CN224601184U";"2025-09-09";"B23P23/04 
B23Q15/22";"";"2026-08-07";"2026-08-07";"100738810";
"218";"一种可调节的油锯导板夹具";"";"";"CN224601083U";"2025-09-09";"B23Q1/25 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100742816";
"219";"一种新型环绕冷却型热缩刀柄机构";"";"";"CN224601182U";"2025-07-08";"B23Q11/12";"";"2026-08-07";"2026-08-07";"100739991";
"220";"一种可旋转的铣削胎具";"";"";"CN224601071U";"2025-08-13";"B23Q1/25 
B23Q3/06 
B25J11/00";"";"2026-08-07";"2026-08-07";"100740563";
"221";"一种钢构件坡口加工铣切装置";"";"";"CN122517685A";"2026-07-01";"B23C3/00 
B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100757192";
"222";"一种小型行星轮减速机壳体的加工设备";"";"";"CN224600661U";"2024-08-29";"B23D79/00 
B23Q11/00 
B23Q11/08 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100742538";
"223";"一种铸造机械用废料回收收集设备";"";"";"CN224601144U";"2024-10-17";"B23Q11/00 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100741037";
"224";"一种激光跟踪仪铣床用工装及其测量方法";"";"";"CN122518141A";"2026-06-23";"B23C9/00 
B23Q17/20 
B23Q17/24";"";"2026-08-07";"2026-08-07";"100765922";
"225";"一种阀门生产用阀门碎屑回收装置";"";"";"CN224601139U";"2024-08-23";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100742793";
"226";"一种适配立式加工中心带双螺旋排屑机的切削液水箱";"";"";"CN224601153U";"2025-09-01";"B23Q11/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100738984";
"227";"一种轴料加工用数控龙门式钻铣磨组合加工设备";"";"";"CN122518070A";"2026-07-01";"B23P23/04 
B23Q11/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100766041";
"228";"一种汽车挡泥板生产用工装";"";"";"CN122518093A";"2026-06-03";"B23B41/00 
B23Q17/22 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100760497";
"229";"一种连杆加工工装";"";"";"CN224601082U";"2025-09-05";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100735805";
"230";"一种铝制品加工用的碎屑收集装置";"";"";"CN224601160U";"2025-09-15";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100743958";
"231";"一种小规格粉末丝锥多工序加工的通用微型夹具及方法";"";"";"CN122518236A";"2026-07-06";"B23Q3/06 
B23Q3/10 
B24B41/06";"";"2026-08-07";"2026-08-07";"100755150";
"232";"一种钢轨制孔加工用夹持组件";"";"";"CN224601063U";"2025-07-18";"B23Q11/00 
B23Q11/08 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100735179";
"233";"一种用于标牌制造的剪圆机";"";"";"CN224600623U";"2024-08-26";"B23D17/04 
B23D35/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100743887";
"234";"一种双向加工夹具";"";"";"CN224601084U";"2025-09-08";"B23B47/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100743441";
"235";"一种活塞杆加工装置";"";"";"CN224601073U";"2025-08-20";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100735464";
"236";"一种方便检修的机床护罩";"";"";"CN224601171U";"2025-09-09";"B23Q11/08";"";"2026-08-07";"2026-08-07";"100742362";
"237";"一种机械加工零件上料机构";"";"";"CN224601137U";"2025-08-05";"B23Q7/04 
B25J15/06 
B65G47/91";"";"2026-08-07";"2026-08-07";"100746483";
"238";"具备五轴联动控制与四主轴独立控制功能的复合加工系统";"";"";"CN224600561U";"2025-07-21";"B23B19/02 
B23Q1/25 
B23Q3/06 
B25J5/00";"";"2026-08-07";"2026-08-07";"100749111";
"239";"一种机械设计制造用机械加工切割装置";"";"";"CN122518101A";"2026-05-15";"B23D19/00 
B23Q11/08 
B23Q17/00 
B23Q17/09 
B23Q3/06 
B23Q3/155";"";"2026-08-07";"2026-08-07";"100754167";
"240";"一种废旧铅酸蓄电池拆解回收装置及工艺";"";"";"CN122518087A";"2026-05-29";"B09B3/35 
B23Q1/25 
B23Q3/06 
H01M10/06 
H01M10/54";"";"2026-08-07";"2026-08-07";"100758433";
"241";"一种电缆夹具打磨装置";"";"";"CN224600580U";"2025-09-08";"B23B39/16 
B23B47/00 
B23B47/20 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100736395";
"242";"一种可快速拆卸的CNC机床夹具";"";"";"CN122518088A";"2026-06-17";"B23Q1/25 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100769324";
"243";"一种基于机器触觉的连杆精加工系统及使用方法";"";"";"CN122518067A";"2026-06-24";"B23P23/04 
B23Q15/16 
B23Q17/09 
B23Q3/08 
B24B41/00 
B24B49/16 
B24B51/00 
B24B9/04";"";"2026-08-07";"2026-08-07";"100768186";
"244";"一种气动攻牙机支撑装置";"";"";"CN224600691U";"2025-09-15";"B23G1/44 
B23Q1/01";"";"2026-08-07";"2026-08-07";"100739457";
"245";"一种钻头换刀工装";"";"";"CN224601034U";"2025-06-18";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100749436";
"246";"一种水暖阀门组合机床刀头的TC4钛合金密封结构";"";"";"CN224601112U";"2025-07-08";"B23Q11/08 
B23Q3/12";"";"2026-08-07";"2026-08-07";"100736025";
